,concepts,description,related
1886,Scorpaeniformes,"The Scorpaeniformes  are a diverse order of ray-finned fish, including the lionfishes and sculpins, but have also been called the Scleroparei. It is one of the five largest orders of bony fishes by number of species, with over 1,320.They are known as ""mail-cheeked"" fishes due to their distinguishing characteristic, the suborbital stay: a backwards extension of the third circumorbital bone (part of the lateral head/cheek skeleton, below the eye socket) across the cheek to the preoperculum, to which it is connected in most species.Scorpaeniform fishes are carnivorous, mostly feeding on crustaceans and on smaller fish.","Anarhichadidae, Sculpin, Cod, List of fish of the Mediterranean Sea"
1887,Scotoplanes,Scotoplanes is a genus of deep-sea sea cucumbers of the family Elpidiidae. Its species are commonly known as sea pigs.,"Scotoplanes globosa, King crab, Sea cucumber, List of Wild Kratts episodes"
1888,Scotoplanes clarki,Scotoplanes is a genus of deep-sea sea cucumbers of the family Elpidiidae. Its species are commonly known as sea pigs.,"Scotoplanes, Scotoplanes globosa, King crab, Sea cucumber, Elpidiidae"
1889,Scotoplanes globosa,"Scotoplanes globosa, commonly known as the sea pig, is a species of sea cucumber that lives in the deep sea. It was first described by Hjalmar Théel, a Swedish scientist.","Scotoplanes, Elpidiidae, List of echinoderm orders, List of Wild Kratts episodes"
1890,Scotoplanes sp. A,Scotoplanes is a genus of deep-sea sea cucumbers of the family Elpidiidae. Its species are commonly known as sea pigs.,"Scotoplanes, King crab, Scotoplanes globosa, Neolithodes, Elpidiidae"
1891,Scrippsia pacifica,"Scrippsia is a genus of hydrozoans in the family Corynidae. It is monotypic with only one species, Scrippsia pacifica.",Scrippsia
1892,Scyliorhinidae,Catsharks are ground sharks of the family Scyliorhinidae. They are the largest family of sharks with around 160 species placed in 17 genera.,"Catshark, Carcharhiniformes, Spotted-belly catshark, Shark, Dark freckled catshark"
1893,Scypholanceola,Lanceolidae is a family of amphipods belonging to the order Amphipoda.Genera:,Lanceolidae
1894,Scyphozoa,"The Scyphozoa are an exclusively marine class of the phylum Cnidaria, referred to as the true jellyfish (or ""true jellies"").","Cnidaria, Drymonema larsoni, Aurelia aurita, Phacellophora camtschatica"
1895,sea star,"Starfish or sea stars are star-shaped echinoderms belonging to the class Asteroidea (). Common usage frequently finds these names being also applied to ophiuroids, which are correctly referred to as brittle stars or basket stars.","Starfish, Sunflower sea star, Patrick Star, SeaStar, Mary Star of the Sea"
1896,Sebastes,"Sebastes is a genus of marine ray-finned fish belonging to the subfamily Sebastinae part of the family Scorpaenidae, most of which have the common name of rockfish. A few are called ocean perch, sea perch or redfish instead.","Sebastes norvegicus, Sebastes mentella, Sebaste, Redfish"
1897,Sebastes aleutianus-melanostictus complex,"The rougheye rockfish (Sebastes aleutianus) is a rockfish of the genus Sebastes. It is also known as the blackthroat rockfish, rougheye seaperch, blacktip seaperch, longlife seaperch or the blacktip rockfish and grows to a maximum of about 97 cm (38 in) in length, with the IGFA record weight being 14 lb 12 oz (6.7 kg).","Rougheye rockfish, Sebastes melanostictus"
1898,Sebastes auriculatus,"Sebastes is a genus of marine ray-finned fish belonging to the subfamily Sebastinae part of the family Scorpaenidae, most of which have the common name of rockfish. A few are called ocean perch, sea perch or redfish instead.","Sebastes, Brown rockfish, Sebastes atrovirens, Ecology of the San Francisco Estuary, List of fishes of the Salish Sea"
1899,Sebastes aurora,"Sebastes aurora, the aurora rockfish, is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. It is found in the northeastern Pacific Ocean.","Sebastes, Helios, Puget Sound, List of cities and municipalities in the Philippines"
1900,Sebastes babcocki,"Sebastes is a genus of marine ray-finned fish belonging to the subfamily Sebastinae part of the family Scorpaenidae, most of which have the common name of rockfish. A few are called ocean perch, sea perch or redfish instead.","Sebastes, Redbanded rockfish, Barber's pole, List of fishes of the Salish Sea"
1901,Sebastes borealis,"The shortraker rockfish (Sebastes borealis) is an offshore, demersal species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. It is found in the northern Pacific Ocean.","Shortraker rockfish, Sebastes, Sebastinae, Scorpaenidae, Sei whale"
1902,Sebastes brevispinis,"Sebastes is a genus of marine ray-finned fish belonging to the subfamily Sebastinae part of the family Scorpaenidae, most of which have the common name of rockfish. A few are called ocean perch, sea perch or redfish instead.","Sebastes, Sebastes hubbsi, List of fishes of the Salish Sea, List of freshwater fishes of Korea, List of least concern fishes"
1903,Sebastes caurinus,"The copper rockfish (Sebastes caurinus), also known as the copper seaperch, is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. It is found in the eastern Pacific.","Copper rockfish, Sebastes, Puget Sound, Microcotyle sebastis, List of fishes of the Salish Sea"
1904,Sebastes chlorostictus,"Sebastes chlorostictus, the greenspotted rockfish, is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. It is found in the Eastern Pacific.","Sebastes, Sebastes chrysomelas, Sebastes rubrivinctus"
1905,Sebastes cortezi,"Sebastes is a genus of marine ray-finned fish belonging to the subfamily Sebastinae part of the family Scorpaenidae, most of which have the common name of rockfish. A few are called ocean perch, sea perch or redfish instead.","Sebastes, List of least concern fishes"
1906,Sebastes crameri,"Sebastes is a genus of marine ray-finned fish belonging to the subfamily Sebastinae part of the family Scorpaenidae, most of which have the common name of rockfish. A few are called ocean perch, sea perch or redfish instead.","Sebastes, Darkblotched rockfish, Heceta Bank, Frank Cramer, List of fishes of the Salish Sea"
1907,Sebastes crameri-melanostomus complex,Sebastes crameri-melanostomus complex, 
1908,Sebastes diploproa,"Sebastes diploproa, the splitnose rockfish, is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. It is found in the northeastern Pacific Ocean.","Sebastes, Negligible senescence, Heceta Bank, List of fishes of the Salish Sea"
1909,Sebastes elongatus,"Sebastes elongatus, the greenstriped rockfish, striped rockfish, strawberry rockfish, poinsettas, reina or serena, is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. It is found in the northeastern Pacific Ocean.","Sebastes, Sebastes chrysomelas, Heceta Bank, List of fishes of the Salish Sea"
1910,Sebastes ensifer,"Sebastes ensifer, the swordspine rockfish, is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. It is found in the northeastern Pacific Ocean.","Sebastes, Sebastes capensis, Sebastes helvomaculatus, Sebastes rosaceus"
1911,Sebastes entomelas,"Sebastes is a genus of marine ray-finned fish belonging to the subfamily Sebastinae part of the family Scorpaenidae, most of which have the common name of rockfish. A few are called ocean perch, sea perch or redfish instead.","Sebastes, Widow rockfish, Sebastes ovalis, List of fishes of the Salish Sea"
1912,Sebastes flavidus,"Sebastes is a genus of marine ray-finned fish belonging to the subfamily Sebastinae part of the family Scorpaenidae, most of which have the common name of rockfish. A few are called ocean perch, sea perch or redfish instead.","Sebastes, Yellowtail rockfish, Yellowtail (fish), Microcotyle sebastis, List of fishes of the Salish Sea"
1913,Sebastes goodei,"Sebastes goodei, the chilipepper rockfish and chilipepper, is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. This species lives mainly off the coast of western North America from Baja California to Vancouver.","Sebastes, Rockfish, George Brown Goode, List of fishes of the Salish Sea"
1914,Sebastes jordani,"Sebastes is a genus of marine ray-finned fish belonging to the subfamily Sebastinae part of the family Scorpaenidae, most of which have the common name of rockfish. A few are called ocean perch, sea perch or redfish instead.","Sebastes, David Starr Jordan, Sei whale, Fin whale, List of fishes of the Salish Sea"
1915,Sebastes levis,"Sebastes levis, the cowcod or cow rockfish, is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. It is found in the eastern Pacific Ocean.","Sebastes, IUCN Red List critically endangered species (Animalia), List of data deficient fishes"
1916,Sebastes macdonaldi,"Sebastes is a genus of marine ray-finned fish belonging to the subfamily Sebastinae part of the family Scorpaenidae, most of which have the common name of rockfish. A few are called ocean perch, sea perch or redfish instead.","Sebastes, List of fishes of Great Britain, List of critically endangered fishes, List of fish of Ireland, List of least concern fishes"
1917,Sebastes maliger,"The quillback rockfish (Sebastes maliger),  also known as the quillback seaperch, is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. This species primarily dwells in salt water reefs.","Quillback rockfish, Sebastes, Microcotyle sebastis, Brown rockfish, List of fishes of the Salish Sea"
1918,Sebastes melanostomus,"Sebastes is a genus of marine ray-finned fish belonging to the subfamily Sebastinae part of the family Scorpaenidae, most of which have the common name of rockfish. A few are called ocean perch, sea perch or redfish instead.","Sebastes, List of fish of the North Sea, List of fish in Sweden"
1919,Sebastes miniatus,"Sebastes miniatus, the vermilion rockfish, vermilion seaperch, red snapper, red rock cod, and rasher, is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. It is native to the waters of the Pacific Ocean off western North America from Baja California to Alaska.","Sebastes, Red snapper, Rasher, Rockcod"
1920,Sebastes miniatus-pinniger complex,Sebastes miniatus-pinniger complex, 
1921,Sebastes mystinus,"The blue rockfish (Sebastes mystinus) or blue seaperch, is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. It is found in the northeastern Pacific Ocean, ranging from northern Baja California to central Oregon.","Blue rockfish, Sebastes, Sebastes diaconus, Sebastes atrovirens, Giacomo Bernardi"
1922,Sebastes ovalis,"Sebastes ovalis, the speckled rockfish, is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. It is found in deep rocky areas of the Eastern Pacific.","Sebastes, List of fishes of Great Britain, IUCN Red List critically endangered species (Animalia), List of least concern fishes"
1923,Sebastes paucispinis,"The bocaccio rockfish (Sebastes paucispinis) is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae, It is found in the northeast Pacific Ocean. ","Bocaccio rockfish, Sebastes, Canary rockfish, Yelloweye rockfish, Sebastes miniatus"
1924,Sebastes phillipsi,"Sebastes is a genus of marine ray-finned fish belonging to the subfamily Sebastinae part of the family Scorpaenidae, most of which have the common name of rockfish. A few are called ocean perch, sea perch or redfish instead.","Sebastes, List of data deficient fishes"
1925,Sebastes pinniger,"The canary rockfish (Sebastes pinniger), also known as the orange rockfish, is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. It is native to the waters of the Pacific Ocean off western North America.","Canary rockfish, Sebastes, Canary, Yelloweye rockfish, List of fishes of the Salish Sea"
1926,Sebastes rosenblatti,"Sebastes is a genus of marine ray-finned fish belonging to the subfamily Sebastinae part of the family Scorpaenidae, most of which have the common name of rockfish. A few are called ocean perch, sea perch or redfish instead.","Sebastes, List of least concern fishes"
1927,Sebastes ruberrimus,"The yelloweye rockfish (Sebastes ruberrimus) is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. and one of the biggest members of the genus Sebastes.","Yelloweye rockfish, Sebastes, Red snapper, Canary rockfish, Redbanded rockfish"
1928,Sebastes rubrivinctus,"Sebastes rubrivinctus, also known as the flag rockfish, Spanish flag, redbanded rockfish or barberpole, is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. It is found in the Eastern Pacific.",Sebastes
1929,Sebastes rufus,"Sebastes is a genus of marine ray-finned fish belonging to the subfamily Sebastinae part of the family Scorpaenidae, most of which have the common name of rockfish. A few are called ocean perch, sea perch or redfish instead.","Sebastes, Sebastes rufinanus, September 9 (Eastern Orthodox liturgics), Armenia, Julia of Cilicia"
1930,Sebastes saxicola,"Sebastes is a genus of marine ray-finned fish belonging to the subfamily Sebastinae part of the family Scorpaenidae, most of which have the common name of rockfish. A few are called ocean perch, sea perch or redfish instead.","Sebastes, List of fishes of the Salish Sea, List of Latin and Greek words commonly used in systematic names, List of least concern fishes, List of data deficient fishes"
1931,Sebastes semicinctus,"Sebastes semicinctus, the halfbanded rockfish, is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. It is found in the Eastern Pacific.","Sebastes, List of fishes of the Salish Sea, List of least concern fishes"
1932,Sebastes serranoides,"Sebastes serranoides, the olive rockfish, is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. It is found in the Eastern Pacific.",Sebastes
1933,Sebastes simulator,"Sebastes is a genus of marine ray-finned fish belonging to the subfamily Sebastinae part of the family Scorpaenidae, most of which have the common name of rockfish. A few are called ocean perch, sea perch or redfish instead.","Sebastes, Sebastes capensis, Sebastes rosaceus, Sebastes helvomaculatus, Sebastes chlorostictus"
1934,Sebastes zacentrus,"Sebastes is a genus of marine ray-finned fish belonging to the subfamily Sebastinae part of the family Scorpaenidae, most of which have the common name of rockfish. A few are called ocean perch, sea perch or redfish instead.","Sebastes, Hagfish, List of fishes of the Salish Sea"
1935,Sebastidae,"Sebastinae is a subfamily of marine fish belonging to the family Scorpaenidae in the order Scorpaeniformes.  Their common names include rockfishes, rock perches, ocean perches, sea perches, thornyheads, scorpionfishes, sea ruffes and rockcods.","Sebastinae, Rockfish, Sebastes, Rockcod, Puget Sound"
1936,Sebastolobinae,Sebastolobini is a tribe of marine ray-finned fishes belonging to the subfamily Sebastinae of the family Scorpaenidae in the order Scorpaeniformes. Many species have the common name thornyhead.,Sebastolobini
1937,Sebastolobus,"Sebastolobus, the thornyheads, is a genus of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. These fishes are native to the northern and eastern Pacific Ocean.","Sebastolobus macrochir, Shortspine thornyhead, Sebastolobus altivelis, Yelloweye rockfish"
1938,Sebastolobus alascanus,"The shortspine thornyhead (Sebastolobus alascanus), also known as the channel rockcod, shortspine channel rockfish or spinycheek rockfish, is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. It is sometimes referred to as the ""idiot fish"" or ""idiot cod"" due to its large oversized head and eyes.","Shortspine thornyhead, Sebastolobus, List of endangered fishes, List of fishes of the Salish Sea, IUCN Red List endangered species (Animalia)"
1939,Sebastolobus altivelis,"Sebastolobus altivelis, the longspine thornyhead, is a species of marine ray-finned fish belonging to the subfamily Sebastinae, the rockfishes, part of the family Scorpaenidae. It is found in deep waters of the northeastern Pacific Ocean.","Sebastolobus, Sebastolobini, Sebastes melanostictus, List of endangered fishes"
1940,Sebastomus complex,Sebastomus complex, 
1941,Sedentaria,"Sedentaria is a diverse clade of annelid worms. It is traditionally treated as a subclass of the paraphyletic class Polychaeta, but it is also a monophyletic group uniting several polychaetes and the monophyletic class Clitellata.","Phronima sedentaria, Errantia, Pleistoannelida, Phronima"
1942,sediment,"Hericium erinaceus (also called lion's mane mushroom, mountain-priest mushroom, bearded tooth fungus, and bearded hedgehog) is an edible mushroom belonging to the tooth fungus group. Native to North America, Europe, and Asia, it can be identified by its long spines (longer than 1 centimetre or 1⁄2 inch), occurrence on hardwoods, and tendency to grow a single clump of dangling spines.","Hericium erinaceus, Anaerobic digestion, Greenhouse gas emissions from wetlands, River, Fungiculture"
1943,seep,seep, 
1944,Semperella,"Semperoncis huberti is a species of air-breathing sea slug, a shell-less marine pulmonate gastropod mollusk in the family Onchidiidae.","Semperoncis huberti, Pheronematidae, Semperoncis, Onchidiidae, List of prehistoric sponge genera"
1945,Sergestes similis,"Lucensosergia lucens is a species of shrimp popularly known as the sakura shrimp or sakura ebi.  The translucent pink shrimp derives its name from sakura, the Japanese word for the cherry blossom.","Sakura shrimp, Prawn (disambiguation), Henri Milne-Edwards, Sergestidae, Bear Seamount"
1946,Sergestid molt,Sergestid molt, 
1947,Sergestidae,Sergestidae is a family of prawns which have lived since at least the Middle Jurassic (Bajocian/Bathonian).,"Dendrobranchiata, Acetes japonicus, Acetes, Sakura shrimp"
1948,Sergestoidea,"Sergestoidea is a superfamily of prawns, divided into two families – the Luciferidae and the Sergestidae.","Dendrobranchiata, Decapoda, Shrimp fishery, Furry lobster"
1949,Sericolophus,Pheronematidae is a family of sponges belonging to the order Amphidiscosida.Genera:,Pheronematidae
1950,Sericolophus hawaiicus,Pheronematidae is a family of sponges belonging to the order Amphidiscosida.Genera:,Pheronematidae
1951,Seriola,"Seriola is a genus of ray-finned fish, with many species commonly known as amberjacks.  Nine extant species are currently recognized, although these were formerly split into many more.","Japanese amberjack, Yellowtail amberjack, Greater amberjack, Amberjack"
1952,Seriola dumerili,"The greater amberjack (Seriola dumerili), also known as the allied kingfish, great amberfish, greater yellowtail, jenny lind, Sea donkey, purplish amberjack, reef donkey, rock salmon, sailors choice, yellowtail, and yellow trevally, is a species of predatory ray-finned fish in the family Carangidae, the jacks and pompanos. It is found in temperate, subtropical, and tropical seas around the world.","Greater amberjack, Seriola, Amberjack, Yellowtail (fish), Carangidae"
1953,Seriola rivoliana,"The longfin yellowtail (Seriola rivoliana), also known as the almaco or silvercoat jack, deep-water, falcate, European or highfin amberjack, rock salmon, longfin or yellow kingfish, is a game fish of the family Carangidae; they are in the same family as yellowtail and amberjack. They are carnivorous and feed, both day and night, on other, smaller fish, such as baitfish, small squid, octopus, crab and shrimp.","Longfin yellowtail, Seriola, Yellowtail (fish), List of fish of the Mediterranean Sea, List of fishes of Florida"
1954,Serpulidae,"The Serpulidae are a family of sessile, tube-building annelid worms in the class Polychaeta. The members of this family differ from other sabellid tube worms in that they have a specialized operculum that blocks the entrance of their tubes when they withdraw into the tubes.","Seashell, Tube worm, Trochophore, Spirobranchus giganteus"
1955,Serranus psittacinus,"Serranus psittacinus, also known by its common name barred serrano, is a species of fish from the genus Serranus.","Serranus, List of least concern perciform fishes"
1956,Serrivomer,Serrivomer is a genus of deep-sea eel in the family Serrivomeridae. It contains nine described species.,"Serrivomer schmidti, Serrivomer garmani, Serrivomer sector, Eel"
1957,Setarches,Setarches is a genus of deep-sea bristly scorpionfishes.,"Channelled rockfish, Thysanophrys armata, Scorpaeniformes, Setarchinae"
1958,Setarches guentheri,"The channelled rockfish (Setarches guentheri), commonly known as the deepwater scorpionfish, is a marine ray-finned fish belonging to the subfamily Setarchinae, which is a part of the family Scorpaenidae. This species is found in various tropical and subtropical oceans and has a wide distribution.","Channelled rockfish, Setarches, Scorpaeniformes, Setarchinae, List of deep water fish of the Red Sea"
1959,Setarches longimanus,Setarches is a genus of deep-sea bristly scorpionfishes.,"Setarches, Channelled rockfish, Lythrichthys, List of fishes of India, List of least concern fishes"
1960,sheet flow,sheet flow, 
1961,shell,shell, 
1962,shell fragment,shell fragment, 
1963,Shinkailepas,"Shinkailepas is a genus of sea snails or false limpets, marine gastropod mollusks in the family Phenacolepadidae.","Shinkailepas kaikatensis, Shinkailepas myojinensis, Divia briandi, Scaly-foot gastropod"
1964,shoe,"A shoe is an item of footwear intended to protect and comfort the human foot. Though the human foot can adapt to varied terrains and climate conditions, it is vulnerable, and shoes provide protection.", 
1965,Sibogagorgia,"Paragorgiidae is a family of corals, a member of the phylum Cnidaria.","Paragorgiidae, Scleraxonia"
1966,Sibogagorgia cauliflora,"Paragorgiidae is a family of corals, a member of the phylum Cnidaria.","Paragorgiidae, Scleraxonia"
1967,Siboglinidae,"Siboglinidae is a family of polychaete annelid worms whose members made up the former phyla Pogonophora and Vestimentifera (the giant tube worms). The family is composed of around 100 species of vermiform creatures which live in thin tubes buried in sediment (Pogonophora) or in tubes attached to hard substratum (Vestimentifera) at ocean depths ranging from 100 to 10,000 m (300 to 32,800 ft).","Osedax, Riftia pachyptila, Tube worm, Annelid"
1968,Sicyonis,"Actinostolidae is a family of sea anemones in the order Actiniaria. Members of this family are deep sea species, with some occurring at hydrothermal vents.",Actinostolidae
1969,Sicyonis careyi,"Actinostolidae is a family of sea anemones in the order Actiniaria. Members of this family are deep sea species, with some occurring at hydrothermal vents.",Actinostolidae
1970,Simenchelys parasitica,"The snubnosed eel, Simenchelys parasitica, also known as the pug-nosed eel, slime eel, or snub-nose parasitic eel, is a species of deep-sea eel and the only member of its genus. Some authors classify it as the sole member of the subfamily Simenchelyinae of the family Synaphobranchidae, or cutthroat eels, while others place it in its own monotypic family, the Simenchelyidae.","Snubnosed eel, Smalltooth sand tiger, List of least concern fishes, List of marine animals of the Cape Peninsula and False Bay, List of marine bony fishes of South Africa"
1971,sinker,sinker, 
1972,Siphonogorgia alexandri,"Siphonogorgia is a genus of soft corals in the family Nidaliidae. Like other members of this family, these corals do not contain symbiotic zooxanthellae.",Siphonogorgia
1973,Siphonophora,"Hydroidolina is a subclass of Hydrozoa and makes up 90% of the class. Controversy surrounds who the sister groups of Hydroidolina are, but research has shown that three orders remain consistent as direct relatives: Siphonophorae, Anthoathecata, and Leptothecata.","Hydroidolina, Hydrozoa, Paraphyly, Siphonophorae, Haleciidae"
1974,Siphonophorae,"Siphonophorae (from Greek siphōn 'tube' + pherein 'to bear') is an order within Hydrozoa, which is a class of marine organisms within the phylum Cnidaria. According to the World Register of Marine Species, the order contains 175 species thus far.Siphonophores are highly polymorphic and complex organisms.","Hydrozoa, Portuguese man o' war, Zooid, Kunstformen der Natur"
1975,siphonophore,"Siphonophorae (from Greek siphōn 'tube' + pherein 'to bear') is an order within Hydrozoa, which is a class of marine organisms within the phylum Cnidaria. According to the World Register of Marine Species, the order contains 175 species thus far.Siphonophores are highly polymorphic and complex organisms.","Siphonophorae, Praya dubia, Physophora hydrostatica, Physalia, Portuguese man o' war"
1976,site marker,"A marker pen, fine liner, marking pen, felt-tip pen, felt pen, flow marker, sign pen (in South Korea), vivid (in New Zealand), texta (in Australia), sketch pen (in South Asia) or koki (in South Africa) is a pen which has its own ink source and a tip made of porous, pressed fibers such as felt.", 
1977,Situla,Octacnemidae is a family of tunicates belonging to the order Phlebobranchia.Genera:,"Octacnemidae, Predatory tunicate, Phlebobranchia, Megalodicopia"
1978,Situla sp. 1,Situla sp. 1, 
1979,Sladenia,"The anglerfish are fish of the teleost order Lophiiformes (). They are bony fish named for their characteristic mode of predation, in which a modified luminescent fin ray (the esca or illicium) acts as a lure for other fish.","Anglerfish, Frogfish, Handfish, Coffinfish, List of fish of the Mediterranean Sea"
1980,Sladenia remiger,Sladenia is a genus of deep sea goosefishes found in the Caribbean Sea and western Pacific Ocean.,"Sladenia (fish), Kamaʻehuakanaloa Seamount"
1981,Sladenia zhui,Sladenia is a genus of deep sea goosefishes found in the Caribbean Sea and western Pacific Ocean.,Sladenia (fish)
1982,Smithsonius dorothea,Tessaradomidae is a family of bryozoans belonging to the order Cheilostomatida.,"Tessaradomidae, 2016 in paleontology, Ascophora"
1983,Snyderidia,"Snyderidia canina is a species of pearlfish found in all tropical waters but those of the eastern Pacific Ocean, depths from 110 to 1,762 m (361 to 5,781 ft). This species grows to a length of 26.8 cm (10.6 in).","Snyderidia canina, Pearlfish, S. canina, Pyramodontinae, List of least concern fishes"
1984,Solanderia,Solanderia is the sole genus of hydrozoans in the monotypic family Solanderiidae. They are commonly known as tree hydroids or sea fan hydroids.,"Solanderia ericopsis, Grey fan hydroid, Rossiteria, Dendrocoryne"
1985,Solanderia sp.,Solanderia is the sole genus of hydrozoans in the monotypic family Solanderiidae. They are commonly known as tree hydroids or sea fan hydroids.,"Solanderia, Rossiteria nucleus, Jean Bouillon, List of marine animals of Australia (temperate waters), List of marine cnidarians of South Africa"
1986,Solaster,Solaster is a genus of sea stars in the family Solasteridae.,"Solaster dawsoni, Solaster stimpsoni, Solaster namakae, Solaster spectabilis"
1987,Solaster hypothrissus,Solaster is a genus of sea stars in the family Solasteridae.,Solaster
1988,Solasteridae,The Solasteridae are a family of sea stars.,"Starfish, Solaster dawsoni, Common sunstar, Valvatida"
1989,Solemyidae,"Solemyidae is a family of saltwater clams, marine protobranch bivalve mollusks in the order Solemyida.","Gulf of Cádiz, Cold seep, Solemya velum, Protobranchia"
1990,Solmaris,Solmaris is a genus of diminutive hydrozoans.,"Solmarisidae, Gloucester Hill Battle Monument, Morigaon, Presidential Unit Citation (United States)"
1991,Solmarisidae,"Solmarisidae is a family of hydrozoans in the order Narcomedusae. The name is sometimes spelled ""Solmaridae"".","Narcomedusae, Solmaris, List of marine cnidarians of South Africa"
1992,Solmissus,"Solmissus, or dinner plate jellyfish, is a genus of hydrozoans. Its species are unique among cnidarians in that they actively hunt for prey as opposed to passively waiting for plankton to pass by.","Narcomedusae, Cuninidae, Gelatinous zooplankton, List of marine cnidarians of South Africa"
1993,Solmissus incisa,"Solmissus, or dinner plate jellyfish, is a genus of hydrozoans. Its species are unique among cnidarians in that they actively hunt for prey as opposed to passively waiting for plankton to pass by.","Solmissus, Narcomedusae, Cuninidae"
1994,Solmissus marshalli,"Solmissus, or dinner plate jellyfish, is a genus of hydrozoans. Its species are unique among cnidarians in that they actively hunt for prey as opposed to passively waiting for plankton to pass by.","Solmissus, Cuninidae, List of marine cnidarians of South Africa"
1995,Solmunaegina nematophora,Solmunaegina nematophora, 
1996,Solmundaegina nematophora,Solmundaeginidae is a family of hydrozoans in the order Narcomedusae.,Solmundaeginidae
1997,Solmundella bitentaculata,"Solmundella is a genus of hydrozoan in the family Solmundaeginidae. It is monotypic, with the single species Solmundella bitentaculata.","Solmundella, Solmundaeginidae, Limacina rangii, List of marine cnidarians of South Africa"
1998,Solocisquama erythrina,Solocisquama  is a fish genus in the family Ogcocephalidae.,Solocisquama
1999,Somniosus pacificus,"The Pacific sleeper shark (Somniosus pacificus) is a sleeper shark of the family Somniosidae, found in the North Pacific on continental shelves and slopes in Arctic and temperate waters between latitudes 70°N and 22°N and in at least two places in the western tropical Pacific near Palau and the Solomon Islands, from the surface to 2,000 metres (6,600 ft) deep. The first evidence of the sharks in the western tropical Pacific emerged from a National Geographic video taken near the Solomon Islands in 2015.","Pacific sleeper shark, Somniosus, Greenland shark, Southern sleeper shark, Somniosidae"
2000,Sonardyne beacon,Sonardyne beacon, 
2001,Spectrunculus,Spectrunculus is a genus of cusk-eels found in the Atlantic and Pacific Oceans.,"Spectrunculus grandis, Spectrunculus crassus, Cusk-eel, Mirror shiner"
2002,Spectrunculus grandis,"Spectrunculus grandis is a species of Rhizopharyngia ray-finned fish in the cusk-eel family known by the common names pudgy cusk-eel and giant cusk-eel. It is one of two species in the formerly monotypic genus Spectrunculus, the other species, S. crassus, having been differentiated in 2008.The pudgy cusk-eel is a common fish of deep oceans worldwide.","Spectrunculus, Cusk-eel, List of fishes of Great Britain, List of least concern fishes"
2003,Spectrunculus sp.,The rainbow shiner (Notropis chrosomus) is a North American species of ray-finned fish in the genus Notropis.,"Rainbow shiner, 2021 in paleoichthyology, List of marine bony fishes of South Africa"
2004,Sperosoma,The Echinothurioida are an order of sea urchins in the class Echinoidea. Echinothurioids are distinguished from other sea urchins by the combination of a flexible test and hollow spines.,"Echinothurioida, Echinothuriidae, Largest and heaviest animals, List of organisms named after famous people (born 1800–1899)"
2005,Sphaeriodiscus,Sphaeriodiscus is a genus of echinoderms belonging to the family Goniasteridae.The genus has almost cosmopolitan distribution.Species:,"Sphaerodiscus, Goniasteridae, List of prehistoric starfish genera, List of prehistoric echinoderm genera"
2006,Sphaeriodiscus ammophilus,Sphaeriodiscus is a genus of echinoderms belonging to the family Goniasteridae.The genus has almost cosmopolitan distribution.Species:,Sphaeriodiscus
2007,Sphaeronectes,Sphaeronectes is a genus of cnidarians belonging to the family Sphaeronectidae.The genus has almost cosmopolitan distribution.Species:,"Siphonophorae, Sphaeronectidae, List of marine cnidarians of South Africa"
2008,Sphaeronectes christiansonae,"Siphonophorae (from Greek siphōn 'tube' + pherein 'to bear') is an order within Hydrozoa, which is a class of marine organisms within the phylum Cnidaria. According to the World Register of Marine Species, the order contains 175 species thus far.Siphonophores are highly polymorphic and complex organisms.","Siphonophorae, Sphaeronectes"
